"","PolicyNum","Year","ClaimBC","ClaimIM","ClaimPN","ClaimPO","ClaimCN","ClaimCO","TypeCity","TypeCounty","TypeMisc","TypeSchool","TypeTown","TypeVillage","IsRC","CoverageBC","lnDeductBC","NoClaimCreditBC","yAvgBC","FreqBC","CoverageIM","lnDeductIM","NoClaimCreditIM","yAvgIM","FreqIM","CoveragePN","NoClaimCreditPN","yAvgPN","FreqPN","CoveragePO","NoClaimCreditPO","yAvgPO","FreqPO","CoverageCN","NoClaimCreditCN","yAvgCN","FreqCN","CoverageCO","NoClaimCreditCO","yAvgCO","FreqCO"
"1",120002,2006,0,0,0,0,0,6275.06,0,1,0,0,0,0,1,22.714456,6.90775527898214,0,0,0,3.43026,6.90775527898214,0,0,0,0.724329,0,0,0,1.692349,0,0,0,0.724329,0,0,0,1.831077,0,3137.53,2
"2",120002,2007,0,0,10434.01,0,0,0,0,1,0,0,0,0,1,25.046646,6.90775527898214,0,0,0,3.945242,6.90775527898214,0,0,0,0.568278,0,5217.005,2,1.223635,0,0,0,0.568278,0,0,0,1.422231,0,0,0
"3",120002,2008,0,0,0,0,0,93963.11,0,1,0,0,0,0,1,20.851525,6.90775527898214,1,0,0,3.867008,6.90775527898214,1,0,0,0.507358,0,0,0,1.403996,1,0,0,0.507358,1,0,0,1.960699,0,23490.7775,4
"4",120002,2009,0,0,0,0,0,5478.39,0,1,0,0,0,0,1,21.852696,6.90775527898214,1,0,0,3.972191,6.90775527898214,1,0,0,0.617885,0,0,0,1.760853,1,0,0,0.617885,1,0,0,2.069251,0,2739.195,2
"5",120002,2010,6838.87,0,0,0,0,0,0,1,0,0,0,0,1,23.511493,6.90775527898214,1,6838.87,1,4.548198,6.90775527898214,1,0,0,0.600099,1,0,0,2.171365,1,0,0,0.600099,1,0,0,2.171365,0,0,0
"6",120003,2006,0,21589.93,0,0,0,4206.64,0,1,0,0,0,0,1,99.353377,8.51719319141624,0,0,0,9.198051,8.51719319141624,0,10794.965,2,1.192516,0,0,0,4.087988,0,0,0,1.192516,0,0,0,4.034988,0,1402.21333333333,3
"7",120003,2007,15500,0,2058.91,0,8595.83,3825.51,0,1,0,0,0,0,1,104.546824,8.51719319141624,0,3875,4,9.560074,8.51719319141624,0,0,0,1.435489,0,2058.91,1,3.766256,0,0,0,1.391618,0,4297.915,2,3.747866,0,1912.755,2
"8",120003,2008,8775,0,0,87844.74,2014.06,15315.4,0,1,0,0,0,0,1,111.265009,8.51719319141624,0,8775,1,10.362193,8.51719319141624,0,0,0,1.425094,0,0,0,3.905827,1,21961.185,4,1.425094,0,2014.06,1,3.840827,0,7657.7,2
"9",120003,2009,37470.91,4455,147533.57,0,129783.45,0,0,1,0,0,0,0,1,119.005219,8.51719319141624,0,18735.455,2,11.674143,8.51719319141624,1,4455,1,1.529426,0,24588.9283333333,6,3.927629,0,0,0,1.529426,0,43261.15,3,3.862629,0,0,0
"10",120003,2010,9711.28,0,0,0,42411.13,101479.68,0,1,0,0,0,0,1,114.646079,8.51719319141624,0,9711.28,1,12.3192,8.51719319141624,0,0,0,1.179073,0,0,0,5.125977,0,0,0,1.179073,0,21205.565,2,5.060977,0,50739.84,2
"11",120004,2006,13003.08,0,22405.56,2712.53,1032.26,0,0,1,0,0,0,0,1,25.879634,6.21460809842219,0,4334.36,3,4.055599,6.21460809842219,0,0,0,0.591822,0,5601.39,4,0.518618,0,904.176666666667,3,0.591822,0,1032.26,1,0.518618,0,0,0
"12",120004,2007,32733.44,0,0,0,0,3754.91,0,1,0,0,0,0,1,29.720359,6.21460809842219,0,32733.44,1,4.786196,6.21460809842219,0,0,0,0.342268,0,0,0,0.61963,0,0,0,0.342268,0,0,0,0.61963,0,1877.455,2
"13",120004,2008,0,0,8951.21,831.47,0,0,0,1,0,0,0,0,1,31.088524,6.21460809842219,0,0,0,4.89342,6.21460809842219,1,0,0,0.613214,0,2237.8025,4,0.631076,0,831.47,1,0.613214,0,0,0,0.631076,0,0,0
"14",120004,2009,42600.43,17551.03,19246.38,0,1756.16,3529.94,0,1,0,0,0,0,1,33.064745,6.90775527898214,0,14200.1433333333,3,5.024861,8.51719319141624,1,17551.03,1,0.557843,0,3207.73,6,0.595503,0,0,0,0.557843,1,878.08,2,0.595503,0,1764.97,2
"15",120004,2010,10323.5,0,0,1324.4,11123.59,0,0,1,0,0,0,0,1,31.853574,6.90775527898214,0,10323.5,1,5.136773,8.51719319141624,0,0,0,0.876784,0,0,0,0.124367,0,1324.4,1,0.876784,0,2780.8975,4,0.124367,0,0,0
